TRACK,LABEL,METHOD,CURVE
17,feature.SpeciesProp.managed.DR,,626
17,feature.SpeciesProp.managed.FDC,,647
17,feature.SpeciesProp.managed.HW,,628
17,feature.SpeciesProp.managed.PLC,,629
17,feature.SpeciesProp.managed.SS,,970
17,feature.SpeciesProp.managed.YC,,648
17,feature.StemsPerHa.managed.CWHvm_CW_HW_M,,37
17,feature.Yield.managed.BA,,971
17,feature.Yield.managed.CW,,972
17,feature.Yield.managed.DR,,973
17,feature.Yield.managed.FDC,,974
17,feature.Yield.managed.HW,,975
17,feature.Yield.managed.PLC,,976
17,feature.Yield.managed.SS,,977
17,feature.Yield.managed.Total,,978
17,feature.Yield.managed.YC,,979
18,feature.Area.managed,,22
18,feature.Area.og1.CWHvm_CW_HW_M,,955
18,feature.Area.og1.total,,955
18,feature.Area.og2.CWHvm_CW_HW_M,,24
18,feature.Area.og2.total,,24
18,feature.Height.managed.CWHvm_CW_HW_M,,968
18,feature.QMD.managed.CWHvm_CW_HW_M,,969
18,feature.Seral.CWHvm_CW_HW_M.immature,,27
18,feature.Seral.CWHvm_CW_HW_M.mature,,645
18,feature.Seral.CWHvm_CW_HW_M.overmature,,300
18,feature.Seral.CWHvm_CW_HW_M.regenerating,,30
18,feature.Seral.CWHvm_CW_HW_M.young,,31
18,feature.Seral.immature,,27
18,feature.Seral.mature,,645
18,feature.Seral.overmature,,300
18,feature.Seral.regenerating,,30
18,feature.Seral.young,,31
18,feature.SpeciesProp.managed.BA,,301
18,feature.SpeciesProp.managed.CW,,302
18,feature.SpeciesProp.managed.DR,,303
18,feature.SpeciesProp.managed.FDC,,304
18,feature.SpeciesProp.managed.HW,,325
18,feature.SpeciesProp.managed.PLC,,1071
18,feature.SpeciesProp.managed.SS,,307
18,feature.SpeciesProp.managed.YC,,308
18,feature.StemsPerHa.managed.CWHvm_CW_HW_M,,37
18,feature.Yield.managed.BA,,1072
18,feature.Yield.managed.CW,,1073
18,feature.Yield.managed.DR,,1074
18,feature.Yield.managed.FDC,,1075
18,feature.Yield.managed.HW,,1076
18,feature.Yield.managed.PLC,,1077
18,feature.Yield.managed.SS,,1078
18,feature.Yield.managed.Total,,978
18,feature.Yield.managed.YC,,1079
19,feature.Area.og1.CWHvm_HW_FDC_L,,440
19,feature.Area.og1.total,,440
19,feature.Area.og2.CWHvm_HW_FDC_L,,24
19,feature.Area.og2.total,,24
19,feature.Area.unmanaged,,22
19,feature.Height.unmanaged.CWHvm_HW_FDC_L,,1159
19,feature.QMD.unmanaged.CWHvm_HW_FDC_L,,1160
19,feature.Seral.CWHvm_HW_FDC_L.immature,,1161
19,feature.Seral.CWHvm_HW_FDC_L.mature,,1162
19,feature.Seral.CWHvm_HW_FDC_L.overmature,,29
19,feature.Seral.CWHvm_HW_FDC_L.regenerating,,30
19,feature.Seral.CWHvm_HW_FDC_L.young,,31
19,feature.Seral.immature,,1161
19,feature.Seral.mature,,1162
19,feature.Seral.overmature,,29
19,feature.Seral.regenerating,,30
19,feature.Seral.young,,31
19,feature.SpeciesProp.unmanaged.BA,,121
19,feature.SpeciesProp.unmanaged.CW,,443
19,feature.SpeciesProp.unmanaged.DR,,123
19,feature.SpeciesProp.unmanaged.FDC,,444
19,feature.SpeciesProp.unmanaged.HW,,458
19,feature.SpeciesProp.unmanaged.PL,,1163
19,feature.SpeciesProp.unmanaged.SS,,1163
19,feature.StemsPerHa.unmanaged.CWHvm_HW_FDC_L,,1164
19,feature.Yield.unmanaged.BA,,1165
19,feature.Yield.unmanaged.CW,,1166
19,feature.Yield.unmanaged.DR,,1167
19,feature.Yield.unmanaged.FDC,,1168
19,feature.Yield.unmanaged.HW,,1169
19,feature.Yield.unmanaged.PL,,1170
19,feature.Yield.unmanaged.SS,,1170
19,feature.Yield.unmanaged.Total,,1171
20,feature.Area.managed,,22
