Name,Title,Class,Source,Extensions
objective,Active target objective summary,ca.spatial.patchworks.ShortageReport,Target table,html;csv
shortage,Active target shortage summary,ca.spatial.patchworks.ShortageReport,Target table,html;csv
feature_Seral_CWHvm_FDC_HW_H_young,Targets for feature.Seral.CWHvm_FDC_HW_H.young,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_L_immature,Targets for feature.Seral.CWHvm_FDC_HW_L.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_L_mature,Targets for feature.Seral.CWHvm_FDC_HW_L.mature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_L_overmature,Targets for feature.Seral.CWHvm_FDC_HW_L.overmature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_L_regenerating,Targets for feature.Seral.CWHvm_FDC_HW_L.regenerating,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_L_young,Targets for feature.Seral.CWHvm_FDC_HW_L.young,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_M_immature,Targets for feature.Seral.CWHvm_FDC_HW_M.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_M_mature,Targets for feature.Seral.CWHvm_FDC_HW_M.mature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_M_overmature,Targets for feature.Seral.CWHvm_FDC_HW_M.overmature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_M_regenerating,Targets for feature.Seral.CWHvm_FDC_HW_M.regenerating,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_M_young,Targets for feature.Seral.CWHvm_FDC_HW_M.young,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_HW_BA_M_immature,Targets for feature.Seral.CWHvm_HW_BA_M.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
