CURVE,X,Y
1516,150,0.1
1516,160,0.1
1516,170,0
1516,180,0.1
1516,190,0
1516,200,0
1516,220,0.2
1516,230,0.1
1516,240,0.1
1516,250,0
1516,260,0
1516,270,0.1
1516,280,0
1516,290,0.1
1516,310,0.1
1516,320,0.2
1516,330,0.2
1516,340,0.1
1234,79,0
1234,80,0.1
1234,90,0
1234,100,0
1234,110,0.1
1234,120,0
1234,140,0
1234,150,0.1
1234,160,0
1234,210,0
1234,220,0.1
1234,230,0.1
1234,240,0
1234,280,0
1234,290,0.1
1721,79,0
1721,80,0.1
1721,90,0
1721,150,0
1721,160,0.1
1721,170,0.1
1721,180,0
1721,190,0.1
1721,200,0
1721,210,0.1
1721,220,0.1
1721,230,0
1721,240,0
1721,250,0.1
1721,270,0.1
1721,280,0
1519,79,0
1519,80,0.1
1519,90,0
1519,120,0
1519,130,0.1
1519,140,0
1519,180,0
1519,190,0.1
1519,210,0.1
1519,220,0
1519,240,0
1519,250,0.1
1519,310,0.1
1519,320,0
1519,330,0.1
1239,79,0
1239,80,0.1
1239,90,0
1239,120,0
1239,130,0.1
1239,140,0
1239,150,0.1
1239,160,0.1
1239,170,0
1239,180,0.1
1239,190,0
1239,200,0.1
1239,210,0.1
1239,220,0
1239,230,0.1
1239,250,0.1
1239,260,0
1239,310,0
1239,320,0.1
1239,330,0
1616,79,0
1616,80,0.1
1616,90,0
1616,110,0
1616,120,0.1
1616,130,0.1
1616,140,0
1616,180,0
1616,190,0.1
1616,210,0.1
1616,220,0
1616,240,0
1616,250,0.1
1616,310,0.1
1616,320,0
1616,330,0.1
1185,79,0
1185,80,0.1
1185,90,0
1185,110,0
1185,120,0.1
1185,130,0.4
1185,140,0.3
1185,150,0.5
1185,170,0.7
1185,180,0.7
1185,190,0.6
1185,210,0.8
1185,220,0.8
1185,230,0.9
1185,240,0.9
1185,250,0.8
1185,260,0.9
1185,280,0.9
1185,290,1
1185,320,1
1185,330,0.9
1185,340,1
2583,79,0
2583,80,0.50909
1732,79,0
1732,80,0.57815
1683,79,0
1683,80,0.6
1683,90,0.7
1683,150,0.7
1683,160,0.6
1683,180,0.6
1683,190,0.5
1683,240,0.5
1683,250,0.4
1687,79,0
1687,80,0.6
1687,130,0.6
1687,140,0.5
1687,160,0.5
1687,170,0.4
1687,210,0.4
1687,220,0.3
1655,79,0
1655,80,0.6
1655,110,0.9
1655,120,0.9
1655,130,1
1529,79,0
1529,80,0.572
2574,79,0
2574,80,0.6
2574,90,0.5
2574,100,0.5
2574,110,0.6
2574,120,0.6
2574,130,0.5
2574,140,0.5
2574,150,0.6
2574,170,0.4
2574,180,0.5
2574,220,0.5
2574,230,0.6
2574,250,0.4
2574,260,0.6
2574,270,0.5
2574,280,0.5
2574,290,0.6
2574,310,0.4
2574,320,0.5
2574,340,0.5
2574,350,0.4
1612,79,0
1612,80,0.6
1612,90,0.4
1612,100,0.5
1612,110,0.5
1612,120,0.6
1612,140,0.6
1612,150,0.5
1612,160,0.6
1612,170,0.6
1612,180,0.5
1612,190,0.6
1612,210,0.6
1612,220,0.5
1612,250,0.5
1612,260,0.6
